marketplace_id,source,product_name,brand,category,price,rating,review_count,availability,description,product_url,image_url,scraped_date,processor_extracted,product_id,model_name,processor_name,ram_gb,ssd_gb,hdd_gb,operating_system,graphics,screen_size,resolution,no_of_cores,no_of_threads,spec_score,original_price,processor_family_market,processor_family_manufacturer
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,183.0,Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop,PENTIUM SILVER N6005,4.0,256.0,0.0,Windows,Intel Integrated UHD,14.0,1366 x 768,4.0,4.0,50.0,37990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,194.0,Acer Extensa EX215-31 Laptop,PENTIUM N5030,8.0,256.0,0.0,Windows,Intel Integrated UHD 605,15.6,1366 x 768,4.0,0.0,50.0,24990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,352.0,Acer Extensa EX215-31 Laptop,INTEL PENTIUM N5030,4.0,0.0,1000.0,Windows,Intel UHD Graphics 605,15.6,768 x 1366,4.0,4.0,0.0,21990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,581.0,Acer TravelMate TMB311-31 Laptop,INTEL PENTIUM N5030,4.0,128.0,0.0,Windows,UHD Graphics 600,11.6,1366 x 768,4.0,4.0,49.0,24990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,620.0,Acer TravelMate TMP215-53 Laptop,PENTIUM GOLD 7505,4.0,0.0,1000.0,Windows,Intel Integrated,15.6,1366 x 768,2.0,4.0,53.0,26990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,732.0,Acer Aspire 3 A314-35 UN.K0SSI.033 Laptop,PENTIUM SILVER N6000,8.0,256.0,0.0,Windows,Intel Integrated UHD Graphics,14.0,1366 x 768,4.0,4.0,48.0,24990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,735.0,Acer Aspire 3 A314-35 UN.K0SSI.030 Laptop,PENTIUM SILVER N6000,4.0,256.0,0.0,Windows,Intel Integrated UHD Graphics,14.0,1366 x 768,4.0,4.0,47.0,22990.0,PENTIUM,PENTIUM
2,WebScraper.io,Aspire E1-510,ACER,Laptop,306.99,3.0,2,Available,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,PENTIUM N3520,992.0,Acer Extensa EX215-31 Laptop,INTEL PENTIUM N5030,4.0,256.0,0.0,Windows,Intel Integrated UHD 605,15.6,1366 x 768,4.0,0.0,49.0,23899.0,PENTIUM,PENTIUM
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,6.0,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,11TH GEN CORE I5,8.0,256.0,1000.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,73.0,56700.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,55.0,Lenovo IdeaPad Slim 5 82SF008YIN Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10.0,12.0,66.0,72490.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,60.0,Lenovo IdeaPad Slim 3 82RK0062IN Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,‎Intel Iris Xe Graphics,15.6,1920 x 1080,10.0,12.0,55.0,58490.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,82.0,Lenovo IdeaPad Gaming 3 82K1017WIN Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,71.0,52900.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,100.0,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,12TH GEN CORE I5,8.0,256.0,0.0,Windows,Intel iris Xe Integrated,14.0,1920 x 1080,10.0,12.0,62.0,49990.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,104.0,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,72.0,54990.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,119.0,Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8.0,12.0,75.0,80990.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,173.0,Lenovo V15 82KBA01TIH Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,65.0,49490.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,185.0,Lenovo V15 82KBA01KIH Laptop,11TH GEN CORE I5,8.0,512.0,0.0,DOS,Intel Integrated UHD,15.6,1920 x 1080,4.0,8.0,60.0,52500.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,221.0,Lenovo V15 G2-ITL Business Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated UHD,15.6,1920 x 1080,4.0,8.0,56.0,48999.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,222.0,Lenovo IdeaPad Gaming 3 82K1019BIN Laptop,11TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,4.0,8.0,71.0,68989.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,236.0,Lenovo Ideapad Slim 3 82H802KVIN Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Iris XE Graphic,15.6,1920 x 1080,4.0,8.0,59.0,55490.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,258.0,Lenovo IdeaPad Gaming 3 82K10198IN Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,68.0,54451.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,270.0,Lenovo Yoga Slim 7 Pro 82NC00EWIN Laptop,11TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,4.0,8.0,62.0,71990.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,275.0,Lenovo IdeaPad Gaming 3 82K101B7IN Laptop,11TH GEN CORE I5,16.0,256.0,1000.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,4.0,8.0,72.0,77750.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,351.0,Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,61.0,55850.0,CORE I5,CORE I5
3,WebScraper.io,ThinkPad T540p,LENOVO,Laptop,1178.99,1.0,2,Available,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:07,CORE I5 4200M,429.0,Lenovo V14 Gen 2 ‎82C40019IX Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4.0,8.0,56.0,49999.0,CORE I5,CORE I5
