Marketplace Product,Manufacturer Product,Marketplace Price,Manufacturer Price,Price Difference,Saving %,Similarity Score
Asus ASUSPRO B...,Asus ROG Flow Z13 2022 GZ301ZC-LD123WS Gaming Laptop,1381.13,150790.0,149408.87,99.08,100
Lenovo ThinkPa...,Lenovo IdeaPad Gaming 3 82K101E1IN Laptop,1362.24,54950.0,53587.76,97.52,100
Dell Latitude...,Dell Inspiron 3511 D560803WIN9B Laptop,1143.4,62500.0,61356.6,98.17,100
Acer Swift 1 S...,Acer TravelMate TMB311-31 Laptop,488.64,24990.0,24501.36,98.04,100
Lenovo Yoga 91...,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,1199.73,49990.0,48790.27,97.6,100
Acer TravelMat...,Acer Nitro 5 AN515-57 UN.QEHSI.004 Laptop,1170.1,62999.0,61828.9,98.14,100
Acer Aspire 3...,Acer TravelMate TMB311-31 Laptop,408.98,24990.0,24581.02,98.36,100
Asus VivoBook...,Asus BR1100FKA-BP1104W Laptop,295.99,29990.0,29694.01,99.01,100
Dell Inspiron...,Dell Inspiron 3511 Laptop,1098.42,62812.0,61713.58,98.25,100
Lenovo Yoga 72...,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,1149.73,64990.0,63840.27,98.23,100
Acer Aspire A5...,Acer Nitro 5 AN515-57 UN.QEHSI.004 Laptop,679.0,62999.0,62320.0,98.92,100
Lenovo IdeaPad...,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,1212.16,49990.0,48777.84,97.58,100
Lenovo V510 Bl...,Lenovo V14 G2-ITL ﻿82KAA05VIH Laptop,484.23,39000.0,38515.77,98.76,90
MSI GS63 7RD S...,MSI Thin GF63 11UC-850IN Gaming Laptop,1179.0,72985.0,71806.0,98.38,90
ThinkPad Yoga,Lenovo ThinkPad E14 20TAS16F00 Laptop,1033.99,42300.0,41266.01,97.56,90
Dell XPS 13,Dell Latitude 7410 Laptop,1281.99,77499.0,76217.01,98.35,90
ThinkPad X230,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,1244.99,64990.0,63745.01,98.08,90
MSI GL62VR 7RF...,MSI Thin GF63 11UC-850IN Gaming Laptop,1299.0,72985.0,71686.0,98.22,90
Acer Predator...,Acer Aspire 3 A315-58 Laptop,1123.87,62999.0,61875.13,98.22,90
Lenovo Legion...,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,1112.91,64990.0,63877.09,98.29,90
Asus ROG Strix...,Asus VivoBook 14 X415JA-EB501WS Laptop,1101.83,41990.0,40888.17,97.38,90
MSI GL72M 7RDX,MSI GF75 Thin 10SC-611IN Laptop,1099.0,58900.0,57801.0,98.13,90
Lenovo V110-15...,Lenovo V15 82C30052IH Laptop,321.94,21999.0,21677.06,98.54,90
ThinkPad X240,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,1311.99,64990.0,63678.01,97.98,90
Aspire E1-510,Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop,306.99,37990.0,37683.01,99.19,80
Aspire E1-572G,Acer TravelMate TMP214-53 Laptop,581.99,51990.0,51408.01,98.88,80
Acer Aspire A3...,Acer TravelMate TMP214-53 Laptop,457.38,41490.0,41032.62,98.9,80
Acer Aspire ES...,Acer Nitro 5 AN515-57 UN.QEHSI.004 Laptop,485.9,62999.0,62513.1,99.23,80
Asus EeeBook R...,Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,433.3,29990.0,29556.7,98.56,80
Asus ROG STRIX...,Asus TUF Gaming F15 FX506HC-HN089WS Gaming Laptop,899.0,78990.0,78091.0,98.86,80
Acer Nitro 5 A...,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,809.0,64990.0,64181.0,98.76,80
Asus AsusPro A...,Asus VivoBook 14 X415JA-EB501WS Laptop,1139.54,41990.0,40850.46,97.29,80
Acer Spin 5,Acer Aspire 3 A315-58 Laptop,564.98,32800.0,32235.02,98.28,80
Dell Vostro 15,Dell Inspiron 3520 Laptop,488.78,57990.0,57501.22,99.16,80
ThinkPad T540p,Lenovo V14-IIL 82C4019YIH Laptop,1178.99,48000.0,46821.01,97.54,80
ProBook,HP Pavilion 15-DK2100TX Gaming Laptop,739.99,66990.0,66250.01,98.9,70
Dell Vostro 15...,Dell Inspiron 7420 Laptop,497.17,86990.0,86492.83,99.43,70
Acer Extensa 1...,Acer Aspire 3 A315-58 Laptop,439.73,62999.0,62559.27,99.3,70
HP 350 G1,HP Pavilion 14-dv2019TU Laptop,577.99,62999.0,62421.01,99.08,70
HP 250 G3,HP Pavilion 15s-fq5010TU Laptop,520.99,63350.0,62829.01,99.18,70
Pavilion,HP Pavilion 14-dv2019TU Laptop,609.99,62999.0,62389.01,99.03,70
