Marketplace Product,Manufacturer Product,Brand,Marketplace Processor,Manufacturer Processor,Marketplace RAM,Manufacturer RAM,Marketplace SSD,Manufacturer SSD,Marketplace Price,Manufacturer Price,Similarity Score
Asus ASUSPRO B...,Asus ROG Flow Z13 2022 GZ301ZC-LD123WS Gaming Laptop,ASUS,CORE I7,CORE I7,16,16,512.0,512,1381.13,150790.0,100
Lenovo ThinkPa...,Lenovo IdeaPad Gaming 3 82K101E1IN Laptop,LENOVO,CORE I5,CORE I5,8,8,256.0,256,1362.24,54950.0,100
Dell Latitude...,Dell Inspiron 3511 D560803WIN9B Laptop,DELL,CORE I5,CORE I5,8,8,256.0,256,1143.4,62500.0,100
Acer Swift 1 S...,Acer TravelMate TMB311-31 Laptop,ACER,PENTIUM,PENTIUM,4,4,128.0,128,488.64,24990.0,100
Lenovo Yoga 91...,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,LENOVO,CORE I5,CORE I5,8,8,256.0,256,1199.73,49990.0,100
Acer TravelMat...,Acer Nitro 5 AN515-57 UN.QEHSI.004 Laptop,ACER,CORE I5,CORE I5,8,8,256.0,256,1170.1,62999.0,100
Acer Aspire 3...,Acer TravelMate TMB311-31 Laptop,ACER,PENTIUM,PENTIUM,4,4,128.0,128,408.98,24990.0,100
Asus VivoBook...,Asus BR1100FKA-BP1104W Laptop,ASUS,CELERON,CELERON,4,4,128.0,128,295.99,29990.0,100
Dell Inspiron...,Dell Inspiron 3511 Laptop,DELL,CORE I5,CORE I5,8,8,256.0,256,1098.42,62812.0,100
Lenovo Yoga 72...,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,LENOVO,CORE I5,CORE I5,8,8,256.0,256,1149.73,64990.0,100
Acer Aspire A5...,Acer Nitro 5 AN515-57 UN.QEHSI.004 Laptop,ACER,CORE I5,CORE I5,8,8,256.0,256,679.0,62999.0,100
Lenovo IdeaPad...,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,LENOVO,CORE I5,CORE I5,8,8,256.0,256,1212.16,49990.0,100
Lenovo V510 Bl...,Lenovo V14 G2-ITL ﻿82KAA05VIH Laptop,LENOVO,CORE I3,CORE I3,4,4,128.0,256,484.23,39000.0,90
MSI GS63 7RD S...,MSI Thin GF63 11UC-850IN Gaming Laptop,MSI,CORE I7,CORE I7,8,8,256.0,512,1179.0,72985.0,90
ThinkPad Yoga,Lenovo ThinkPad E14 20TAS16F00 Laptop,LENOVO,CORE I3,CORE I3,4,4,16.0,256,1033.99,42300.0,90
Dell XPS 13,Dell Latitude 7410 Laptop,DELL,CORE I5,CORE I5,8,8,128.0,256,1281.99,77499.0,90
ThinkPad X230,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,LENOVO,CORE I5,CORE I5,8,8,180.0,256,1244.99,64990.0,90
MSI GL62VR 7RF...,MSI Thin GF63 11UC-850IN Gaming Laptop,MSI,CORE I7,CORE I7,8,8,256.0,512,1299.0,72985.0,90
Acer Predator...,Acer Aspire 3 A315-58 Laptop,ACER,CORE I5,CORE I5,8,8,128.0,0,1123.87,62999.0,90
Lenovo Legion...,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop,LENOVO,CORE I5,CORE I5,8,8,128.0,256,1112.91,64990.0,90
Asus ROG Strix...,Asus VivoBook 14 X415JA-EB501WS Laptop,ASUS,CORE I5,CORE I5,8,8,128.0,0,1101.83,41990.0,90
MSI GL72M 7RDX,MSI GF75 Thin 10SC-611IN Laptop,MSI,CORE I5,CORE I5,8,8,128.0,256,1099.0,58900.0,90
Lenovo V110-15...,Lenovo V15 82C30052IH Laptop,LENOVO,CELERON,CELERON,4,4,128.0,0,321.94,21999.0,90
