ID,Model_year,Memory_GB,Storage_GB,Storage_type,Memory_type,Grade,Screen_size,Touch_screen,Price_euro
1,2018.0,16,512,SSD,DDR4,C,"15""",No,685.0
2,2021.0,8,256,SSD,DDR4,C,"16""",No,485.0
3,2022.0,16,256,SSD,DDR4,C,"15""",No,625.0
4,2021.0,32,120,HDD,DDR4,A,"15""",No,1085.0
5,2021.0,4,128,SSD,DDR4,C,"12""",No,245.0
6,2019.0,32,512,SSD,DDR4,C,"12""",No,1045.0
7,2017.0,16,1024,HDD,DDR4,C,"15""",No,635.0
8,2019.0,16,1024,HDD,DDR4,C,"15""",No,655.0
9,2021.0,8,512,SSD,DDR4,A,"15""",No,595.0
10,2020.0,4,512,HDD,DDR4,C,"15""",No,355.0
11,2016.0,16,1024,HDD,DDR4,C,"15""",No,555.0
12,2019.0,16,512,SSD,DDR4,A,"14""",No,815.0
13,2018.0,8,128,SSD,DDR4,C,"12""",No,325.0
14,2018.0,8,1024,SSD,DDR4,C,"15""",No,445.0
15,2019.0,4,128,HDD,DDR4,C,"14""",No,315.0
16,2020.0,4,256,SSD,DDR4,B,"15""",No,415.0
17,2021.0,6,1024,SSD,DDR4,C,"15""",No,485.0
18,2019.0,32,256,SSD,DDR4,A,"12""",No,1135.0
19,2020.0,16,256,HDD,DDR4,C,"15""",No,625.0
20,2021.0,16,128,HDD,DDR4,C,"16""",No,565.0
21,2022.0,4,256,HDD,DDR4,B,"12""",No,315.0
22,2016.0,12,1024,HDD,DDR4,C,"15""",No,605.0
23,2018.0,8,256,SSD,DDR4,A,"14""",No,475.0
24,2019.0,4,256,HDD,DDR4,C,"12""",No,235.0
25,2020.0,12,256,SSD,DDR4,C,"12""",Yes,415.0
26,2020.0,8,256,SSD,DDR4,C,"15""",No,425.0
27,2020.0,8,512,SSD,DDR4,A,"12""",No,465.0
28,2019.0,12,512,HDD,DDR4,C,"15""",No,585.0
29,2022.0,8,2000,SSD,DDR4,B,"15""",No,565.0
30,2017.0,32,512,HDD,DDR4,C,"15""",No,1035.0
31,2018.0,8,256,SSD,DDR4,C,"15""",No,485.0
32,2021.0,16,128,HDD,DDR4,C,"12""",No,455.0
33,2018.0,4,256,SSD,DDR4,C,"15""",No,375.0
34,2022.0,32,512,SSD,DDR4,A,"12""",No,1255.0
35,2018.0,16,256,SSD,DDR4,C,"15""",No,595.0
36,2019.0,32,1024,SSD,DDR4,,"12""",No,945.0
37,2021.0,8,256,SSD,DDR4,C,"15""",No,415.0
38,2015.0,8,1024,SSD,DDR3,C,"12""",No,395.0
39,2017.0,8,1024,HDD,DDR4,C,"15""",No,555.0
40,2016.0,16,256,HDD,DDR4,A,"14""",No,645.0
41,2014.0,8,128,SSD,DDR3,C,"15""",No,385.0
42,2017.0,8,120,HDD,DDR4,C,"12""",No,345.0
43,2021.0,12,512,HDD,DDR4,C,"12""",Yes,585.0
44,2018.0,16,256,SSD,DDR4,B,"15""",No,725.0
45,2020.0,12,512,SSD,DDR4,A,"12""",No,505.0
46,2018.0,12,2000,SSD,DDR4,C,"12""",No,555.0
47,2015.0,4,512,HDD,DDR3,C,"15""",No,265.0
48,2022.0,8,128,SSD,DDR4,A,"15""",No,465.0
49,2015.0,8,256,HDD,DDR3,C,"12""",No,305.0
50,2017.0,16,512,HDD,DDR4,C,"15""",No,555.0
51,2015.0,4,120,SSD,DDR3,C,"14""",No,285.0
52,2017.0,8,120,HDD,DDR4,A,"14""",No,475.0
53,2017.0,32,512,SSD,DDR4,C,"15""",No,905.0
54,2021.0,8,512,SSD,DDR4,A,"14""",No,465.0
55,2021.0,8,256,HDD,DDR4,C,"16""",Yes,525.0
56,2024.0,8,256,SSD,DDR4,A,"12""",No,435.0
57,2019.0,32,128,SSD,DDR4,C,"14""",No,835.0
58,2017.0,16,2000,SSD,DDR4,C,"12""",No,615.0
59,2016.0,4,256,HDD,DDR4,B,"15""",No,395.0
60,2017.0,16,256,HDD,DDR4,C,"15""",No,625.0
61,2017.0,12,256,HDD,DDR4,A,"15""",No,655.0
62,2018.0,16,256,SSD,DDR4,A,"15""",No,815.0
63,2019.0,16,512,SSD,DDR4,A,"14""",No,595.0
64,2021.0,8,512,HDD,DDR4,A,"15""",No,495.0
65,2020.0,8,256,SSD,DDR4,C,"14""",Yes,535.0
66,2019.0,16,128,SSD,DDR4,C,"14""",No,605.0
67,2020.0,8,256,SSD,DDR4,A,"15""",No,585.0
68,2018.0,12,256,SSD,DDR4,C,"15""",No,475.0
69,2018.0,16,256,SSD,DDR4,C,"14""",No,605.0
70,2017.0,12,2000,SSD,DDR4,C,"15""",No,565.0
71,2019.0,8,256,SSD,DDR4,C,"12""",No,335.0
72,2023.0,16,256,HDD,DDR4,A,"15""",Yes,825.0
73,2019.0,32,120,SSD,DDR4,C,"16""",No,1215.0
74,2019.0,8,512,SSD,DDR4,C,"15""",No,465.0
75,2017.0,8,512,SSD,DDR4,C,"12""",No,345.0
76,2019.0,16,256,SSD,DDR4,C,"12""",No,695.0
77,2022.0,8,512,SSD,DDR4,C,"12""",No,425.0
78,2017.0,8,1024,HDD,DDR4,C,"14""",No,495.0
79,2016.0,8,256,HDD,DDR4,C,"12""",No,395.0
80,2018.0,8,256,HDD,DDR4,C,"15""",No,465.0
81,2019.0,8,2000,SSD,DDR4,A,"15""",No,615.0
82,2021.0,8,256,SSD,DDR4,C,"15""",No,495.0
83,2019.0,6,1024,HDD,DDR4,C,"14""",No,395.0
84,2019.0,16,512,SSD,DDR4,C,"14""",No,585.0
85,2020.0,4,128,SSD,DDR4,B,"15""",No,395.0
86,2020.0,8,512,SSD,DDR4,C,"12""",No,485.0
87,2020.0,8,2000,SSD,DDR4,A,"16""",No,635.0
88,2022.0,32,512,SSD,DDR4,A,"15""",Yes,1305.0
89,2021.0,4,512,SSD,DDR4,A,"15""",No,495.0
90,2018.0,4,1024,HDD,DDR4,C,"14""",No,385.0
91,2019.0,32,512,HDD,DDR4,C,"15""",No,895.0
92,2019.0,4,256,HDD,DDR4,C,"15""",No,385.0
93,2021.0,4,128,SSD,DDR4,A,"16""",No,455.0
94,2019.0,4,256,SSD,DDR4,A,"12""",No,295.0
95,2017.0,8,512,SSD,DDR4,C,"14""",No,425.0
96,2019.0,8,512,SSD,DDR4,C,"15""",No,485.0
97,2022.0,4,256,SSD,DDR4,A,"15""",No,465.0
98,2022.0,16,256,SSD,DDR4,C,"14""",No,595.0
99,2019.0,8,512,SSD,DDR4,B,"15""",No,565.0
100,2020.0,16,256,SSD,DDR4,C,"12""",No,675.0
101,2019.0,8,256,SSD,DDR4,C,"15""",No,515.0
102,2020.0,8,128,SSD,DDR4,C,"15""",Yes,565.0
103,2022.0,4,256,SSD,DDR4,A,"14""",No,365.0
104,2022.0,8,256,SSD,DDR4,C,"14""",No,425.0
105,2016.0,12,2000,HDD,DDR4,A,"15""",No,725.0
